Time,Winner,Loser,Result
2026-01-01 15:47:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:48:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:48:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:48:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:50:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:50:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:50:54,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:50:56,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:51:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:51:55,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:51:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:12,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:56:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:59:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:59:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:59:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:59:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:01:56,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:02:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:02:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:02:43,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:03:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:03:54,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:04:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:04:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:05:35,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:05:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:06:12,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:06:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:07:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:07:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:07:57,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:09:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:09:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:09:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:11:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:11:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:11:27,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:12:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:12:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:13:58,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:14:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:14:30,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:15:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:15:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:16:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:16:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:17:05,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:18:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:19:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:19:40,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:20:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:21:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:21:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:22:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:23:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:23:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:23:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:24:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:25:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:25:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:25:52,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:26:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:27:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:28:26,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:28:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:28:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:29:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:30:41,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:30:58,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 16:31:01,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
